Experience_Name,Rating,Reviews,City,Country,Duration,Languages,Cost,Group_Limit,Group_Start_Cost
A Party in Paris with a Parisian,4.94,1547,Paris,France,60, English,19,100,186
Hanoi History Recap,,,Hanoi,Vietnam,60, English,7,10,53
"Uncover Pompeii with an Archaeologist, virtual holiday trip",4.98,1010,Pompei,Italy,60, 5 languages,18,500,175
Sistine Chapel Behind The Scenes Tour,5,4,Rome,Italy,60, English and Italian,35,30,146
How To Caricature,4.97,122,Novato,United States,120, English,16,100,100
How to understand modern art,,,Milan,Italy,90, English,9,6,9
Step by step virtual Art class,,,Kissimmee,United States,60, English,20,,
Crime and Handwriting Analysis,4.98,40,Greater London,United Kingdom,60, English,27,100,110
"True or false, So Funny Facts about Peru",5,5,Lima,Peru,60, English and Spanish,8,30,11
Origami Fun with a Japanese festive Instructor,4.98,50,Kamagaya City,Japan,60, English and Japanese,16,100,141
Creative Smartphone Photography at Home,4.98,427,Berlin,Germany,60, English,25,50,98
Outlander's Inverness - Literary History,5,5,Inverness,United Kingdom,60, English,14,30,69
Harry Potter and the City of Porto,5,18,Porto,Portugal,75, English Spanish and Portuguese,7,15,13
Design an Idea in a Playful Way,4.95,38,Paris,France,90, English and French,23,8,233
Zoom around panoramic Amsterdam,5,9,Amsterdam,Netherlands,60, English and German,14,30,49
"Colourful Buenos Aires, Urban Art",,,Buenos Aires,Argentina,45, English and Spanish,12,30,100
Watercolor painted natal chart & reading,5,200,Barcelona,Spain,60, English Spanish and Portuguese,76,8,76
Walk live a medieval Castle in the city of Milan,,,Milan,Italy,45, English,23,30,92
Get a Japanese Furoshiki cloth and make a pretty hand bag,,,Tokyo,Japan,60, English and Japanese,88,10,351
Sydney Harbour Bridge Virtual Tour,,,Sydney,Australia,45, English and Portuguese,29,30,23
Angkor Wat Virtual Tour,5,3,Krong Siem Reap,Cambodia,60, English and Spanish,15,30,60
"Culture, Food and Lifestyle of Kenya",4.8,5,Nairobi,Kenya,75, English,15,30,100
Hidden in Plain Sight,5,4,Singapore,Singapore,60, English,12,30,75
Discover History through Escape Rooms,4.94,580,Florence,Italy,60, English and Italian,18,30,117
Plan a trip to Amalfi & Naples area with a local expert,,,Amalfi,Italy,60, English,12,100,117
Explore Beijing Must-see Sights,4.94,99,Beijing,China,60, English,5,30,280
Munich virtual tour with Paul,,,Munich,Germany,60, English,47,10,59
A Colorful Holiday in India's Golden Triangle -Stories& more,5,44,New Delhi,India,60, English,17,100,121
Learn How to Analyze Handwriting,4.97,215,London,United Kingdom,60, English,33,100,165
Van Gogh Find Yourself,4.91,411,New York,United States,60, English,20,30,50
The Brooklyn Street Art & Graffiti Tour,5,6,New York,United States,45, English,12,10,99
Valletta Virtual Tour,4.98,43,La Valeta,Malta,60, English and Spanish,5,30,59
"Discover Naples-Origin, Cults, Legend",4.97,33,Napoli,Italy,60, English,18,100,105
Discover Lisbon's Stunning Street Art,4.99,338,Lisboa,Portugal,60, English and Portuguese,11,100,125
Learn the Art and Business of Candles,,,Hatfield,St. Elizabeth,75, English,40,6,500
Explore Street Art in Romania,,,București,Romania,90, English,18,10,59
"Stream Live From home to Asakusa, Tokyo",,,Tokyo,Japan,60, English,22,11,176
Creative Connection Heart Based Art and Readings,5,1,Palmerston North,New Zealand,45, English,57,3,142
Natural Dye and Shibori Experience,5,37,South Kuta,Indonesia,90, English and Japanese,18,30,143
Learn to Draw with Japan's Manga University,4.96,94,Tokyo,Japan,90, English and Japanese,19,100,176
Have fun by painting in mono type,,,Napoli,Italy,90, English and Italian,18,30,117
Explore Ghibli spots in Japan,4.99,137,Tokyo,Japan,75, English and French,14,30,132
Sip and Dream,,,Tannersville,United States,120, English,20,20,200
Zoom Around Panoramic Barcelona,4.92,180,Barcelona,Spain,75, English German and Dutch,16,30,49
Light painting at home,,,Praha,Czech Republic,120, English,23,4,74
Reveal Awesome Street Art In Athens with a local expert,4.98,664,Athens,Greece,60, English,9,100,47
Batik Painting with Malaysia Artisan,5,1,Kuala Lumpur,Malaysia,60, English Indonesian and Malay,10,,
Valley of The Kings Virtual Tour,4.88,64,Luxor,Egypt,90, English,15,30,90
Hand-painted sandals from Spain,5,4,Barcelona,Spain,60, English and Spanish,140,100,581
Pop up art,,,Athens,Greece,75, English,18,6,16
Origami and the Essence of Japan,4.98,281,Koto City,Japan,60, Japanese and English,11,30,9
Explore the Harmony Georgetown,4.88,26,George Town,Malaysia,90, English,7,10,37
Design a Woolly Hat in New Zealand,5,6,Atiamuri,New Zealand,60, English,50,40,4
Planning a Trip to Kenya with a Local,5,4,Nairobi,Kenya,30, English,5,8,80
Hands-on Collage Art Holidays Edition,5,205,Barcelona,Spain,90, English and Spanish,26,100,93
Virtual walk through Ancient Rome ruins,5,94,Rome,Italy,60, English and Italian,17,30,65
Get Inside Tokyo Anime & Subcultures,4.96,167,Tokyo,Japan,60, English and Japanese,27,30,395
A Live Walk Around Hanoi Old & French Quarter With A Local,4.78,18,Hanoi,Vietnam,60, English and Vietnamese,12,10,31
Introduction to Roman Mosaic-making,,,Rome,Italy,45, English,14,10,53
Meet a mermaid & learn about Mermaiding,,,Barcelona,Spain,30, English and Spanish,26,4,88
"Jewish Ghetto of Venice, the history",4.98,47,Venice,Italy,90, English and Italian,14,8,59
Planning a Trip to Egypt with a Local,5,1,Luxor City,Egypt,45, English,25,30,5
Amazing World of Japanese Fake Food,5,4,Osaka City,Japan,60, English,9,100,71
Wonderful Amazing Argentina with a local,5,3,Barcelona,Spain,75, English and Spanish,12,30,59
Sketch while travel Kuala Lumpur,5,1,Kuala Lumpur,Malaysia,120, English Malay and Chinese Simplified,13,10,121
Painting for Fun Acrylics Made Easy,5,6,Hallandale Beach,United States,90, English,24,10,300
Trans-Siberian Railway amazing adventure,5,5,Buenos Aires,Argentina,75, English and Spanish,14,30,50
Mindfulness Tea Ceremony,5,135,Nishinomiya City,Japan,75, English,18,30,97
Create a Portrait of a Pet with Collage,4.96,111,Barcelona,Spain,90, English and Spanish,19,30,175
にほんご Japanese characters made easy,5,27,Kyoto,Japan,60, English,14,30,44
"Venice, play with Art and be a Doge",5,9,Venice,Italy,60, English and Italian,7,20,59
Autumn Kyoto Hidden Zen Garden,4.98,82,Kyoto,Japan,90, English,19,100,92
The Zen Art of Rock Balancing,4.98,50,San Francisco,United Kingdom,60, English,35,500,349
My success with prosthetic adaptations,5,36,,United Kingdom,75, English,35,500,123
Nairobi Kenya Virtual Tour With A Paparazzi,,,Nairobi,Kenya,60, English,13,16,100
Fluid Art Class & Happy Hour Optional,5,23,Los Angeles,United States,60, English,24,30,25
Create and interpret your healing Mandalas,4.92,78,Cusco,Peru,90, Spanish and English,21,20,127
How to Paint with Red Wine,4.95,218,Barcelona,Spain,60, English Spanish Romanian and Russian,14,30,59
Discover Indonesia with Batik Art,4.89,9,Singapore,Singapore,90, English Indonesian and Chinese Simplified,9,8,45
It's Time to Write Your Book,4.98,160,Sydney,Australia,60, English,34,3,34
"Japan's hidden beautiful places top 10. For peace of mind, or preparation for the trip.",5,23,Tokyo,Japan,60, English,14,100,44
Venice must-sees with an art historian,5,6,Venice,Italy,60, English,18,8,93
Explore Street Art in Bucharest,5,4,Bucharest,Romania,90, English,19,10,59
Learn to Paint with Wax,,,Orange Bay,Jamaica,120, English,120,6,500
Beginning Art Class - specific style,5,1,Hamilton,Canada,60, English,61,5,324
Relax by painting nature in watercolors,5,6,Napoli,Italy,90, English and Italian,16,30,93
Wonderful Amazing Barcelona with a local,4.85,20,Barcelona,Spain,75, English,12,30,59
Drinks and Drawing with a Drag Queen,5,6,Sydney,Australia,90, English,26,20,371
Ultra-Immersive Vr Guided Tour of Kyoto,5,1,Kyoto,Japan,75, English Japanese and Chinese Simplified,27,10,219
Contemporary art class,,,Paia,United States,120, English,88,10,500
