Experience_Name,Rating,Reviews,City,Country,Duration,Languages,Cost,Group_Limit,Group_Start_Cost
Learn to Cook Mexican Salsas,4.99,695,Mexico City,Mexico,90, English Spanish French and Japanese,39,100,222
Chinese Home cooking and Language Learning,5,26,Bangkok,Thailand,90, English,16,30,150
Uyghur Hand-Pulled Noodle- Lagman,5,62,Rotterdam,Netherlands,120, English,29,30,290
Easy Indonesian Nasi Goreng Cooking,5,3,Tegallalang,Indonesia,90, English,12,20,13
Prepare delicious Churros with a Chef,4.94,209,Mexico City,Mexico,175, English and Spanish,21,100,209
"Pasta, Cocktails, Jokes & Live Music",4.91,33,Rome,Italy,90, English,40,15,348
Enjoy Mango Sticky Rice and Coconut Soup,5,89,Chiang Mai,Thailand,90, English and Thai,17,8,114
Cook Traditional Mexican Classics with a Chef,4.98,153,Mexico City,Mexico,90, English and Spanish,21,100,209
Cook Greek with Julia-Meze and Koulouri,4.98,513,Athens,Greece,120, English,34,30,186
Authentic Turkish Cooking with Fatima-Karniyarık & Pilav,5,9,Istanbul,Turkey,90, English and German,19,30,65
Desi Indian punjabi curries,5,10,Delhi,India,90, English and Hindi,11,10,54
Cooking Most Popular Indonesian Cuisines,5,43,Denpasar,Indonesia,120, English,23,20,192
Spice it up with Dancing Indian Chef,4.99,149,Berlin,Germany,60, English,19,100,157
Amazing Italian Pasta experience,4.99,583,Rome,Italy,90, 6 languages,24,100,116
Kenyan spiced tea & sweet Swahili treats,,,Nairobi,Kenya,90, English,16,30,150
"Fran Argentine Empanadas & Chimichurri, for holidays season!",4.97,674,Buenos Aires,Argentina,120, English,15,100,100
Learn Pizza Perfect,4.93,41,Florence,Italy,75, English,23,100,145
Fresh Pasta with two Sicilian Farmers,4.97,191,Noto,Italy,90, English and Italian,26,30,290
The Valencia Paella Workshop,5,57,Valencia,Spain,75, English,23,100,111
Dancing on the Dough: Ramen in Japan,5,480,Oiso Town,Japan,120, English and Japanese,25,30,123
Discover Vietnamese cuisine & stories,5,1,Hoi An City,Vietnam,60, English,16,8,115
Spice Up Life with Thai Food,4.92,175,Bangkok,Thailand,75, English,23,26,90
Cook gyoza from scratch,4.99,217,Tokyo,Japan,175, English,18,30,66
Moroccan Home Cooking or Pastries,4.98,482,Rabat,Morocco,90, English Arabic and French,16,30,177
Chop Like a Chef Knife Skills Class,5,25,Salt Lake City,United States,120, English Spanish and Portuguese,26,30,250
Fall/Winter Cooking with Tisha,,,San Jose,United States,90, English,45,10,360
Learn Authentic Indian Flavour With Us,4.95,420,Jodhpur,India,90, English and Hindi,20,30,127
Art of making Great Indian Feast,5,6,Delhi,India,90, English,18,15,80
Master Fave Street Thai Noodles - Pad See Eew,,,San Francisco,United States,45, English,28,30,280
Prepare Caprese Ravioli at home,5,1,Sorrento,Italy,75, English and Italian,14,15,70
Boring Indian Curry Workshop,4.98,200,Singapore,Singapore,90, English and Hindi,26,100,260
"Spaghetti aglio, olio e peperoncino",,,Ferrara,Italy,75, English,18,6,105
"Philippines, Food, Drinks, History",4.93,75,Manila,Philippines,60, English,12,10,79
Art of making street food of India,5,13,Delhi,India,90, English,14,25,80
Authentic Kenyan food with a home cook,5,23,Nairobi,Kenya,90, English,25,100,200
Famous Food from Bali Indonesian Cooking,5,5,Ubud,Indonesia,120, English,12,20,13
Real Spanish Tapas & Sangria,5,51,Barcelona,Spain,90, English,35,100,348
Learn Indian Vegeterian Delicacies with Neha,4.75,4,Khajuraho,India,120, English,14,10,94
Festivals and Culture of India in all its Glory & Colour,,,Delhi,India,75, English and Hindi,26,100,280
The real Arancini Siciliani w/ Riccardo,5,36,Rome,Italy,175, English and Italian,24,15,140
Cook Argentinian creole Fried Cakes,5,1,Buenos Aires,Argentina,45, English and Spanish,12,30,100
"Tiramisù, ice cream & sorbet, all secrets",4.97,134,Milano,Italy,75, English and Italian,29,30,116
Learn to cook vegetarian meal & dessert,5,34,Jaipur,India,75, English,16,30,67
Indonesian Mie Goreng or Friend Noodle,5,3,Ubud,Indonesia,90, English,12,20,13
Polish pierogi cooking class,4.98,207,Krakow,Poland,90, English,18,30,115
Explore Kenyan Cuisines Culture & music,4.97,447,Nairobi,Kenya,90, English,31,100,200
Chocolate & Pistachio choose the dessert,4.98,60,Manarola,Italy,75, English and Italian,27,30,232
Make Mexican Fiesta Essentials with Chef,4.96,144,Mexico City,Mexico,175, English and Spanish,21,100,209
Cook Argentinean Tortilla,5,4,Buenos Aires,Argentina,45, 6 languages,12,30,100
Cook a 3-courses Italian meal,4.55,20,Paris,France,60, French English Spanish and Italian,140,30,290
Cook tasty Patagonian Tapas,5,1,Buenos Aires,Argentina,60, English German Spanish and French,12,10,80
Bread and Moroccan Treats Made Easy,4.97,36,Marrakech,Morocco,60, 5 languages,16,30,14
Food and Tourism in Italy & Albania,4.95,22,Bologna,Italy,90, English and Italian,2,30,12
Dumpling Making from my Family Recipe,4.99,267,Seattle,United States,120, English Chinese Simplified and Chinese Traditional,35,30,280
Cooking with Chef G,,,Byron Bay,Australia,90, English,29,10,149
Golden Milk / Turmeric Latte -Master Class (Vegan Friendly),5,4,Jaipur,India,30, English,10,501,100
Savoury French Crepes and Bechamel sauce,4.99,71,Paris,France,75, English,17,100,174
Traditional Bolognese sauce and pasta like my Grandma,5,22,Bologna,Italy,120, English,23,10,174
Lazy Pierogi - Polish Communist Recipes,5,1,Krakow,Poland,60, English,22,30,199
"Moroccan Tajine, Tea and Tapas with Aman",5,1,Antalya,Turkey,120, English,18,15,13
Turn Butter into Ghee with Dancing Chef,5,10,Berlin,Germany,60, English,16,100,116
Cook the Best Ceviche with Chef Melissa,4.99,131,San Isidro,Peru,90, Spanish and English,25,15,163
"Pasta, Italian recipes and Opera music",4.98,865,Tavarnelle Val di Pesa,Italy,90, 6 languages,29,100,290
Lao Food Cooking with a Lao Chef,5,7,Luang Prabang,Laos,90, English,19,,
Japanese Cuisine with Chef Inata,5,3,Kyoto,Japan,60, English,9,,
Porcini Risotto cooking class with Enzo,5,10,Cava de' Tirreni,Italy,60, 11 languages,27,30,115
Cook the Most Famous Spanish Tapa,5,20,Madrid,Spain,60, English,34,12,24
Dance with me and let’s cook Pad Thai & Mango Sticky Rice,,,Ko Lanta Yai,Thailand,120, English,22,25,120
Advanced Taco Tuesday with a Pro Chef,4.99,299,Mexico City,Mexico,175, English and Spanish,21,100,209
The Thai Pantry,4.95,123,Chiang Mai,Thailand,75, English and Thai,19,30,44
Cooking the most famous Moroccan Dish with a Moroccan,5,4,Marrakech,Morocco,175, English,11,3,40
Swahili cooking,5,1,Dar es Salaam,Tanzania,60, English,25,20,25
Bali Home Cooking,5,16,Ubud,Indonesia,90, English,11,20,68
Awesome & traditional guacamole recipe,4.89,28,Cabo San Lucas,Mexico,60, English and Spanish,16,30,99
Let's Make Chilean Empanadas Together,4.98,184,Santiago,Chile,120, Spanish and English,22,500,66
Make Hand-Pulled Noodles (Vegan Friendly),5,745,Shanghai,China,175, English and Chinese Simplified,28,100,249
Tapas and Sangria Master Class,4,2,Arroyo de La Miel,Spain,90, English and Spanish,34,30,82
Veggie paella with a local,5,6,Valencia,Spain,120, 11 languages,18,100,58
Taste Home Cooked Indian Food with Me,5,22,Berlin,Germany,90, English and Hindi,14,15,116
Cooking Korean Party Food Jabchae,5,38,Seoul,South Korea,90, English,17,30,94
Cooking Most Favorite Balinese Food,5,14,Ubud,Indonesia,90, English Indonesian and Malay,15,20,200
Eat Greek with Jimmy the Greek,4.9,10,Toronto,Canada,90, English,17,10,154
Japanese Food Trivia Night,4.97,92,Tokyo,Japan,60, English,14,30,127
"Nam Prik Ong, Thai Style tomato sauce",5,7,Chiang Mai,Thailand,75, English,9,10,30
Delicious Korean Recipes-Kimchi tofu etc,4.98,96,Seoul,South Korea,75, English,17,30,47
Curry On with Indian Food,5,1,Belmont,United States,75, English,30,12,300
Vegan Ramen Cooking Class,,,Tokyo,Japan,90, English,27,10,132
Simple Quiche Recipe with a French chef,4.99,77,Nice,France,60, English and French,14,30,140
Master Japanese home cooking with mom,4.98,57,Tokyo,Japan,75, English,14,25,158
Gazpacho & Sangria with a Top Chef,5,1,Barcelona,Spain,90, English,35,100,348
Meditation with Cacao Ceremony,5,27,Londra,United Kingdom,90, English and Turkish,28,,
Spanish Tapas Like My Grandma Used to Make,4.88,216,Malaga,Spain,90, English and Spanish,20,30,140
Curate Spices and Create Indian Dishes,5,20,New Delhi,India,90, English and Hindi,26,100,200
"Tamales Fiesta, from a Mexican Chef",4.99,142,Mexico City,Mexico,120, English and Spanish,32,30,296
Cook Jamaican Food with Jamaicans,5,12,Montego Bay,Jamaica,60, English,20,10,15
The Local Indian Cuisines | Street Food,5,30,Jaipur,India,60, English,19,30,100
Prepare an Aperitivo with a Gastronomist,5,15,Rome,Italy,60, English and Italian,105,10,209
Sicilian panini with meatballs or eggplant parm,5,1,Rome,Italy,90, English,28,10,93
Traditional paella with a local,5,3,Valencia,Spain,175, 9 languages,18,20,58
Cook Pad Thai like a Real Thai,4.95,271,San Francisco,United States,60, English and Thai,32,30,320
Making Hummus with a Lebanese Chef,5,175,Toronto,Canada,60, English and Arabic,17,30,21
Portuguese Tapas Class,4.97,461,Lisboa,Portugal,90, English Spanish and Portuguese,29,100,198
French onions soup,5,15,Nice,France,60, English and French,14,30,140
Japanese No Gluten Recipes with Soybean Pulp,5,1,Kyoto,Japan,60, English,22,10,219
K-pop dance class with a K-pop choreographer,4.93,60,Seoul,South Korea,60, Korean and English,19,30,38
Spiced Drinks with Dancing Indian Chef,5,32,Berlin,Germany,60, English,18,100,157
The Most Complete Carnival Experience,5,15,Rio de Janeiro,Brazil,90, English and Portuguese,19,30,156
Yoga-Dance Class with Juliana Mendonca,4.91,23,Oakland,United States,60, English and Spanish,12,8,40
Dance & Cook with Dancing Indian Chef,5,2,Berlin,Germany,60, English,17,100,203
Dance Salsa and Latin Music From Scratch,4.98,460,Bogota,Colombia,60, Spanish and English,20,30,43
Conditioning with Capoeira (Special Carnival Edition),4.97,116,Rio de Janeiro,Brazil,60, Portuguese English Spanish and Italian,9,30,28
Discover Japanese Obon stories and festivals in summer,,,Hanyu City,Japan,60, English and Japanese,5,10,18
Tango Lesson Where Passion and Fun Meet,4.99,256,Barcelona,Spain,60, English and Spanish,16,100,41
Dance the ‘stress’ away,5,13,Lisboa,Portugal,60, Portuguese and English,5,15,116
Tango Intro by Argentinian Experts,4.99,446,Caba,Argentina,60, English Spanish French and Portuguese,15,30,50
Tango Through the History of Argentina,4.93,221,Buenos Aires,Argentina,60, English Spanish and Portuguese,10,100,39
Dance with a Jamaican,4.97,147,Negril,Jamaica,60, English,12,30,10
Balinese Dance and Culture,5,63,Semarapura,Indonesia,60, English French Italian and Portuguese,13,30,50
Russian Ballet class Online,5,7,Moscow,Russia,60, English and Russian,29,4,71
Rio’s carnival backstage live experience,4.95,313,Rio de Janeiro,Brazil,60, English French and Portuguese,16,30,147
Cuban Salsa Dance Class and Latin Party,4.99,69,Puerto Vallarta,Mexico,75, English Spanish French and Portuguese,12,30,40
Sweat It Out in a Bhangra Dance Class,5,45,Raleigh,United States,60, English,20,100,200
Booty Shake with Colombian Choreographer,4.98,114,Medellin,Colombia,60, English Spanish and Portuguese,14,20,66
A bailar salsa cubana pasos libres,,,Turku,Finland,60, English and Spanish,18,6,12
Biodanza - the dance of life,5,1,Buenos Aires,Argentina,90, English German and Spanish,12,10,100
Brazilian Samba class,5,48,Rio de Janeiro,Brazil,60, Portuguese English Spanish and French,19,20,207
Gypsy Flamenco Fiesta & Dance Lesson,5,47,Seville,Spain,60, English Spanish and Italian,20,30,99
High Kicks & Precision Jazz Dance,5,18,New York,United States,75, English,40,10,350
Learn to Chair Dance from home,5,1,Paris,France,60, English,10,10,35
Discover New Zealand's culture with Māori Merv,5,1,Whangarei City,New Zealand,60, English,18,30,460
Joytime - Dance Improvisation,5,10,New York,United States,60, English,25,30,39
Afro-Peruvian Dances and Live Music,5,9,Lima,Peru,75, Spanish and English,17,20,53
Flamenco Class&Party with Spanish Dancer,4.99,229,Sevilla,Spain,60, English and Spanish,18,100,70
Mezcal & Tequila Cocktail Masterclass,4.97,893,Mexico City,Mexico,90, English and Spanish,30,100,296
Worlds Top Coffee Masterclass,4.96,2746,Mexico City,Mexico,60, English and Spanish,9,500,79
Fun Argentine Wine Class with Local Somm,4.99,1290,Buenos Aires,Argentina,60, English Spanish and Portuguese,21,100,220
Boozy Drag Queen Bingo,4.97,478,San Francisco,United States,60, English,30,30,300
The Circus Factory,4.88,65,Lisbon,Portugal,60, English Spanish French and Portuguese,29,500,406
Quick Classic Cocktails - Two Ways,4.97,154,Los Angeles,United States,60, English,19,100,250
Holidays- Drinks and Fun Tarot for Groups,4.95,129,St Petersburg,United States,60, English,30,100,125
Hidden Jazz Club,4.96,741,London,United Kingdom,60, English,21,500,413
Happy Halloween with Caipirinha classes from Rio,4.99,355,Rio de Janeiro,Brazil,60, English Spanish and Portuguese,12,100,229
Wine Class with a Cool Wine Expert,4.98,918,Porto,Portugal,60, English,23,100,231
Italian coffee with a Paralympic champion,5,15,,Italy,45, Italian English and Spanish,18,500,116
Explore the Wine and Wellness of Italy,4.98,170,Toronto,Canada,60, English,17,30,33
GINspiration History & Cocktails at Home,4.96,1738,Bath,United Kingdom,90, English,21,100,207
The Shaun Jay Virtual Magic Experience,5,22,Raleigh,United States,45, English,30,30,500
Cocktail History & Mixology Class,4.98,241,Minneapolis,United States,90, English,29,100,399
Egyptian family day,4.98,96,Luxor City,Egypt,45, English Arabic and Italian,11,100,60
Wine Tasting from France with a Somm,4.97,91,Paris,France,60, English Spanish Italian and Portuguese,21,30,126
The Tequila Madness Interactive Workshop,4.99,167,Mexico City,Mexico,175, English,26,30,150
Tarot reading & Argentinian Mate ritual,4.98,108,Buenos Aires,Argentina,90, Spanish and English,19,30,55
Cocktails Masterclass With Uk Champion,4.97,474,London,United Kingdom,75, English and Portuguese,21,30,104
Beer Drinking with the Brits,4.99,271,London,United Kingdom,90, English,17,100,99
Secrets of Japanese Whiskey,4.95,176,Osaka City,Japan,75, Japanese and English,15,100,92
Brew Masala Chai with a Gujarati South Indian,,,Boulder,United States,30, English,38,30,250
All of the Coffee With producer from Colombia,4.89,271,Bogota,Colombia,60, Spanish and English,10,30,54
Colombian Coffee from Bean to Cup,4.99,212,Medellin,Colombia,60, English and Spanish,22,30,160
Vagabond Vintner's Global Mulled Wines,,,Hartford,United States,90, English,17,10,150
Make Turkish Red Lentil Balls with Ceyda,5,2,Antalya,Turkey,90, English,13,6,11
Guide to American Craft Beer Culture,4.97,75,Austin,United States,90, English,15,30,50
All About Mezcal with a Oaxaca Sommelier,4.96,252,Austin,United States,60, English and Spanish,14,100,150
"Learn the easiest tea, Indian Spicy tea, Secret Spices",5,2,Udaipur,India,30, English French and Hindi,2,6,10
Turkish Coffee Fortune Telling,4.97,304,New York,United States,60, English,50,30,195
"Bartender's Signature, The Old Fashioned",5,6,New York,United States,60, English,38,20,100
Boosting Immune with Jamu herbal drink,5,4,Tegallalang,Indonesia,60, English,9,20,9
Argentine Malbec Wine and Tasting,5,1,Buenos Aires,Argentina,45, English German French and Portuguese,12,30,100
Virtual Sherry tasting tour from Cadiz,5,2,Vejer de la Frontera,Spain,60, English,12,10,93
Italian Aperitivo Spritz Bellini & Hugo,5,103,Provincia di Treviso,Italy,60, English and Italian,23,30,140
Whisky nosing and tasting,5,3,Edinburgh,United Kingdom,90, English,18,10,104
Chardonnay Pairing Art in South Africa,4.96,26,Cape Town,South Africa,90, English,14,30,172
"Mate, Argentina's Famous Drink & Tasting",4.98,52,Buenos Aires,Argentina,45, English German Spanish and Portuguese,12,30,100
Learn how to saber a bottle of Champagne,4.98,139,Epernay,France,60, French and English,12,30,47
Whiskey & Cocktails To 'e' Or Not To 'e',5,15,Bath,United Kingdom,90, English,17,30,207
Wines from Spain for Beginners,,,Valencia,Spain,60, English,18,,
Wine Tasting Around Austria,,,Vienna,Austria,90, English,18,10,174
Secrets of Champagne by a local expert,4.99,76,Reims,France,60, French English Spanish and Russian,14,30,116
How to make Limoncello - Amalfi coast,5,13,Cava de' Tirreni,Italy,60, 10 languages,46,30,115
An Irishman's Guide to Irish Whiskey,4.98,261,Galway,Ireland,60, English,14,20,145
Georgia- discover the birthplace of wine,4.99,105,Gremi Village,Georgia,75, English,14,100,125
Tequila vs Mezcal Cocktail Mayhem Class,5,29,Mexico City,Mexico,175, English,26,30,150
Tropical Cocktails w/ @theparadise.bartender,4.67,24,Honolulu,United States,60, English,24,10,300
Cigar Tasting from Miami's Little Havana,5,102,Miami,United States,60, English and Spanish,13,30,100
London Trip Planning with Linton and Glenn,5,17,London,United Kingdom,60, English,35,8,69
Wine Tasting Around the World,5,31,Vienna,Austria,90, English,18,10,174
Moroccan Tea Ceremony,,,Essaouira,Morocco,60, English and Spanish,20,30,133
Traditional Japanese Alcohol with a Bartender,5,32,Kumamoto City,Japan,75, Japanese and English,11,10,106
Beer Tasting / Cicerone Course,,,Rio de Janeiro,Brazil,25, English Spanish and Portuguese,46,30,92
Uncover the Secrets of Sancerre Wine,5,19,Sazeray,France,60, English,29,15,165
How to Pair Wine and Food with Laura,4.97,31,Syracuse,United States,45, English,12,20,125
Wonders of Winemaking From Our Vineyard,4.9,81,Varna,Bulgaria,60, English,10,20,89
Mai Tais & Magic; a crazy tiki bar show with Jack Spareribs,4.96,171,Sacramento,United States,90, English,35,30,400
Cocktails and Stories From Vietnam,4.98,127,Hội An,Vietnam,75, English French and Russian,19,30,91
How To Make Every Cocktail in the World,4.98,64,Minneapolis,United States,90, English,25,30,249
"Peruvian Booze Creations, Pisco Making",4.99,149,Lima,Peru,60, English and Spanish,9,30,26
Discover the History of Women in Beer,4.99,97,Austin,United States,75, English,15,30,50
From Bean to Cup Coffee Master Class,4.99,78,Heroica Puebla de Zaragoza,Mexico,60, English and Spanish,20,100,320
Izakaya & Sake Culture with a Sommelier,4.98,122,Tokyo,Japan,60, English,14,30,79
"Japanese tea ceremony, tea meditation",5,4,Kyoto City,Japan,45, English,18,10,132
Craft Cocktail & Spirits Masterclass,4.97,125,New York,United States,90, English,30,30,150
Pierogi - Polish Communist Recipes,5,5,Krakow,Poland,90, English,22,30,153
Wine Tasting Demystified - Taste Wine with a Pro Sommelier,4.97,136,Troodos,Cyprus,60, English and Greek,15,30,116
"Chanting, crystals & manifesting",5,4,Tulum,Mexico,45, English,40,13,123
Sake Secrets from Japan's Oldest Brewery,4.97,602,Tokyo,Japan,60, Japanese and English,10,100,114
New Zealand Wine & Travel Experience,4.95,64,Nelson,New Zealand,90, English,20,20,107
Italian Spiced Wines of the Past with an Archaeologist,4.97,623,Napoli,Italy,60, Italian and English,18,100,116
Fancy an old fashioned &discover Spirits,4.9,21,Montreal,Canada,60, English and French,17,14,14
Kombucha Masterclass in Arizona,5,3,Chandler,United States,90, English,15,10,60
Pastel de Nata & Sangria Class with Chef,5,2,Porto,Portugal,175, English,23,10,116
Miami-Cuban Cocktails For Private Groups,4.96,257,Miami,United States,45, English,16,100,160
Russian Roulette Vodka Quiz game,5,29,Mosca,Russian Federation,60, English,15,30,141
"How To Make Every Cocktail in the World, Volume Two",4.92,13,Minneapolis,United States,90, English,20,30,249
Wine-lover class with a roman Sommelier,5,4,Rome,Italy,90, English,24,6,116
Cocktail Cabinet aka Mix it like a Pro,4.82,39,Singapore,Singapore,90, English,24,16,186
"Cuccumella, the art of coffee in Naples",5,1,Salerno,Italy,60, English,14,30,93
"Amalfi coast limoncello, try it",5,213,Salerno,Italy,60, English,18,30,93
Explore Chinese tea culture,,,Shantou City,China,90, Chinese Simplified,31,10,94
Learn about Teas from a Tea Sommelier,4.9,31,Bengaluru,India,60, English and Hindi,22,30,114
Tea tasting with a Tea Sommelier,4.97,34,Hamilton,Canada,45, English,17,30,65
"Handmade carbonara pasta, Spritz&Rossini",4.99,190,Milano,Italy,75, English and Italian,29,30,116
Healing Concert Cellist & Japanese Monk,4.95,558,Osaka City,Japan,30, English,8,30,176
Andrew Lee Magic,5,228,Kuala Lumpur,Malaysia,45, English,45,30,602
Explore Card Magic,4.97,425,Kremenchuk,Ukraine,60, English,26,500,308
Tiny Theatre presents Halloween Hi-Jinks Mystery Game,,,South Florida Gulf Coast,United States,60, English,25,100,400
From Paris with Laughs - The Scavenger Hunt,5,24,Paris,France,60, 15 languages,11,100,105
The Positive Connection,4.94,17,Florence,Italy,60, Italian and English,16,30,174
Piano Meditation Concert from Paris,4.98,387,Paris,France,60, English German and French,14,10,174
Self-Love Spell Creation Course,4.97,37,Los Angeles,United States,60, English,30,30,120
Master Improvisation In One Hour,4.93,103,New York,United States,60, English,49,100,490
Family Magic Show and Magic Lesson,4.96,1049,Chiyoda City,Japan,60, Japanese English and Indonesian,25,500,300
Magic & Scam for honest people,4.88,153,Lyon,France,60, French and English,14,30,116
Secrets of Magic,4.97,1058,Berkhamsted,United Kingdom,90, English,28,500,550
This Is Magic,4.98,115,Kuala Lumpur,Malaysia,45, English,25,100,403
Tango Concert with Latin Grammy Nominee,4.98,1056,Buenos Aires,Argentina,60, English and Spanish,15,500,300
"Magic, Murder and a Cup of Tea",5,68,Calgary,Canada,60, English,26,30,377
"Believe, A Virtual Magic Experience",5,67,Singapore,Singapore,45, English,30,20,497
Beyond the Magic,4.97,348,Singapore,Singapore,60, English and Chinese Simplified,26,100,371
Magic & Mentalism with David Rosenfeld,4.98,385,New York,United States,45, English,25,30,650
Thrilling Escape Game with a Magic Show,4.98,53,London,United Kingdom,90, English,24,30,94
Dan Chan The Millionaires' Mentalist,4.9,81,San Francisco,United States,30, English Chinese Simplified and Chinese Traditional,50,500,1000
Bring Magic Home,4.99,137,Toronto,Canada,90, English,24,30,78
Feel the Magic & Joy Unfold on screen,4.95,20,Bengaluru,India,45, English,14,30,107
Mysteries & Magic in Peru – An Interactive Experience,4.96,187,Lima,Peru,60, English and Spanish,30,100,255
Interactive Magic & Illusion Show,5,197,New York,United States,60, English,17,30,525
Interactive Magic & Mentalism Show,4.91,85,Sacramento,United States,45, English,25,25,150
Virtual Magic Corporate Getaway,5,3,Toronto,Canada,60, English,21,30,203
Classical Piano Concert Live from Vienna,4.99,154,Vienna,Austria,60, English,16,30,115
Shadows in the Dark- A Spooky Magic Show,5,6,Singapore,Singapore,60, English,26,30,371
An Evening with a Flamenco Composer,4.92,375,Madrid,Spain,75, English and Spanish,13,100,301
"Digital Deceptions, Virtual Magic Show",4.95,43,Singapore,Singapore,45, English and German,26,30,390
Tiny_Theatre Interactive Murder Mystery,4.97,286,Fort Myers,United States,175, English,33,100,460
"The Gorgeousity - a playful, art-making, musical adventure",,,Philadelphia,United States,90, English,15,,
Magic show & mentalism show lesson trick,4.94,18,New York,Poland,60, English,26,30,72
Magic & Illusion with a Master Magician,4.98,174,Sydney,Australia,60, English and Italian,23,30,164
Unique Concert from Istanbul,5,55,Istanbul,Turkey,60, English Azerbaijani and Turkish,14,30,57
Concert with Scottish folksinger,4.93,15,Glasgow,United Kingdom,60, English,28,30,275
Singer-songwriter concert in Italy,4.99,80,Fornoli,Italy,75, English and Italian,7,10,82
Virtual Classical Music Tour of Vienna,4.86,7,Vienna,Austria,60, English,27,30,174
Canada's Old West History in Song & Tale,5,19,Okotoks,Canada,60, English,29,10,223
Intimate Gig from Somewhere in the World,4.97,34,Londra,United Kingdom,60, English Spanish and Italian,9,30,165
Drag Queen Bingo Live from Madrid,4.87,355,Madrid,Spain,90, English and Spanish,34,30,667
"Cello Meditation Concert, end-of-year edition",4.98,730,Amsterdam,Netherlands,60, English,26,500,638
Magic & Oddities with Jack Spareribs; professional show-off,4.91,77,Sacramento,United States,90, English,29,30,350
A musical journey to Italy with folk songs for Halloween!,4.98,179,Rome,Italy,60, English and Italian,24,100,209
"Uruguayan music, adventures and Candombe",5,42,Montevideo,Uruguay,60, Spanish and English,12,30,19
Japanese Healing Songs by Romantic Guitar Solo,4.96,26,Tokyo,Japan,45, English,18,10,106
Improvised Stories of the World Concert,5,71,Singapore,Singapore,90, English,38,30,297
Tiny_Theatre presents A Mystery Game,4.98,42,Fort Myers,United States,75, English,20,100,300
Nashville Concert w/ Emmy Nominated host,4.96,73,Nashville,United States,60, English,16,500,290
Into the Mystical Music of Lisbon Fado,4.98,147,Lisboa,Portugal,60, 5 languages,17,40,105
Holiday Concert from Iceland,4.95,258,Reykjavik,Iceland,60, 6 languages,25,100,500
'no Spain no Game' The Fabulous Game !,4.93,2298,Barcelone,Spain,60, 11 languages,16,500,105
Project Avatar virtual escape room,4.83,29,Lviv,Ukraine,90, English Russian and Ukrainian,42,30,167
No Sedentary-Live Like Animals,5,234,Chengdu,China,45, 18 languages,1,30,175
"Halloween Special, Harry Potter Magic in Edinburgh Tour",4.97,1125,Edinburgh,United Kingdom,60, English German Spanish and French,18,100,179
Tarot Reading and Meditation for Halloween,4.98,602,Dubai,United Arab Emirates,45, English and Hindi,45,100,96
Follow a Plague Doctor Through Prague,4.91,2996,Prague,Czech Republic,60, English,19,500,183
Living Room Legends Scavenger Hunt Game,4.91,2057,Austin,United States,60, English and Spanish,12,100,112
Falling Into Fall With Sign Language,4.99,183,Athens,United States,60, English,20,100,300
Not So Scavenger Hunt -Let the madness begin this holiday,5,10,Delhi,India,60, English and Hindi,11,100,54
Healing and De-stressing Eight Section Brocades,5,8,Beijing,China,30, English and Chinese Simplified,10,30,156
"Astrology Workshop, Birth Chart Reading",4.97,644,Lisboa,Portugal,60, English,53,12,128
Virtual hike/walk in the Amalfi coast,4.98,59,Agerola,Italy,60, 11 languages,4,100,150
The Ultimate Movie Trivia Night - Box Office Now Open,5,26,Delhi,India,60, English,17,100,101
Treasure Hunt - The Forgotten Recipe,4.99,145,Cavriglia,Italy,60, Italian and English,12,26,59
Halloween enchanted tale with tarot and oracle cards,5,7,Dubai,United Arab Emirates,45, English,31,100,96
"Georgian culture, legends & traditions",4.98,97,Tbilisi,Georgia,75, English,14,100,125
Halloween Tarot Readings for Teams & Groups,4.93,280,Austin,United States,60, English,60,30,235
Learn and Train with Samurai in Tokyo,4.94,162,Tokyo,Japan,60, English and Japanese,18,30,176
Battle it Out -Iconic Team Building Game Challenge,5,3,Delhi,India,60, English,11,100,67
Stress Busting-Children Games for Adults - Festival Special,5,5,Delhi,India,60, English,11,100,67
Explore Astronomy with an Astrophysicist,5,2,Blue Mountains,Australia,75, English and French,23,30,223
De-stress & Re-energise with Qigong,4.98,54,,Australia,60, English,15,500,371
Bizarre Food Kingdom,5,11,Beijing,China,60, English,16,10,125
Secrets of Queen’s Gambit & Wine,5,139,Lisboa,Portugal,60, English Spanish French and Portuguese,20,100,291
World Wonder-Bucket List Great Wall,4.95,191,Beijing,China,45, English and Chinese Simplified,19,30,389
Art of reinvention with Simidele Adeagbo,4.97,153,,Nigeria,60, English,37,500,2500
"Happiness meditation, end-of-year special edition",4.95,464,Playa del Carmen,Mexico,60, English and Spanish,15,500,147
"Saints & Sinners, The Awesome Irish Game",5,19,Dublin,Ireland,60, English,18,100,209
Family Fitness with Annia Hatch,5,6,,United States,60, English and Spanish,50,10,450
Speed Skating session with an Olympian,5,10,,United Kingdom,60, English,28,30,330
Holiday Retreat - Sun Yoga & Music hour for the overworked,5,16,Delhi,India,60, English and Hindi,17,100,81
AirD&D Theater of the Mind,5,38,Vancouver,Canada,120, English,16,12,61
Japanese Samurai Town History Walk,4.96,71,Chigasaki,Japan,45, English,18,100,88
Highlights of the Old Town in Munich,5,4,Munich,Germany,90, English and German,12,30,209
Improv at Work,5,5,San Francisco,United States,60, English,40,30,800
Barcelona Storytelling w/ Craft,4.98,160,Barcelona,Spain,60, English Catalan and Spanish,12,15,151
Paella and Sangria Master Class,4.83,6,Arroyo de La Miel,Spain,90, Spanish and English,34,30,82
