Country,Values
United States,171
Italy,100
United Kingdom,69
Japan,68
India ,48
Spain ,48
Mexico ,39
Canada,34
France ,31
Argentina,29
Australia,27
Portugal,23
Brazil,19
Indonesia,19
China,18
Germany,16
New Zealand,15
South Korea,15
Singapore,14
South Africa,14
